"","strain","motif_len","pheno","n","metric"
"362","BXD073b","4",1.36666666666667,30,"delta (RU) contr"
"363","BXD074","4",1.09090909090909,33,"delta (RU) contr"
"364","BXD075","4",1.08695652173913,46,"delta (RU) contr"
"365","BXD077","4",1.12121212121212,66,"delta (RU) contr"
"366","BXD078","4",1.09009009009009,111,"delta (RU) contr"
"367","BXD079","4",1.02,50,"delta (RU) contr"
"368","BXD081","4",1.09090909090909,22,"delta (RU) contr"
"369","BXD083","4",1.08928571428571,56,"delta (RU) contr"
"370","BXD084","4",1.21739130434783,46,"delta (RU) contr"
"371","BXD085","4",1.24444444444444,45,"delta (RU) contr"
"372","BXD086","4",1.12068965517241,58,"delta (RU) contr"
"373","BXD087","4",1.12987012987013,77,"delta (RU) contr"
"374","BXD088","4",1.06122448979592,49,"delta (RU) contr"
"375","BXD089","4",1.05555555555556,54,"delta (RU) contr"
"376","BXD090","4",1.06382978723404,47,"delta (RU) contr"
"377","BXD091","4",1.16129032258065,62,"delta (RU) contr"
"378","BXD095","4",1.14285714285714,28,"delta (RU) contr"
"379","BXD098","4",1.16279069767442,43,"delta (RU) contr"
"380","BXD099","4",1.09090909090909,55,"delta (RU) contr"
"381","BXD100","4",1.15,60,"delta (RU) contr"
"382","BXD101","4",1.09090909090909,44,"delta (RU) contr"
"383","BXD102","4",1.15384615384615,39,"delta (RU) contr"
"384","BXD111","4",1.09090909090909,33,"delta (RU) contr"
"385","BXD113","4",1.13636363636364,22,"delta (RU) contr"
"386","BXD114","4",1.11764705882353,17,"delta (RU) contr"
"387","BXD122","4",1.06451612903226,31,"delta (RU) contr"
"388","BXD123","4",1.06666666666667,30,"delta (RU) contr"
"389","BXD124","4",1.03225806451613,31,"delta (RU) contr"
"390","BXD125","4",1.23076923076923,26,"delta (RU) contr"
"391","BXD127","4",1.12,25,"delta (RU) contr"
"392","BXD128","4",1.05263157894737,19,"delta (RU) contr"
"393","BXD131","4",1.07407407407407,27,"delta (RU) contr"
"394","BXD137","4",1.13636363636364,22,"delta (RU) contr"
"395","BXD141","4",1,14,"delta (RU) contr"
"396","BXD144","4",1.08,25,"delta (RU) contr"
"397","BXD147","4",1,23,"delta (RU) contr"
"398","BXD148","4",1.08333333333333,24,"delta (RU) contr"
"399","BXD149","4",1,27,"delta (RU) contr"
"400","BXD150","4",1.07692307692308,26,"delta (RU) contr"
"401","BXD151","4",1.05263157894737,19,"delta (RU) contr"
"402","BXD152","4",1.10344827586207,29,"delta (RU) contr"
"403","BXD154","4",1.05,20,"delta (RU) contr"
"404","BXD155","4",1.10810810810811,37,"delta (RU) contr"
"405","BXD156","4",1.12903225806452,31,"delta (RU) contr"
"406","BXD157","4",1.22222222222222,18,"delta (RU) contr"
"407","BXD160","4",1.16666666666667,24,"delta (RU) contr"
"408","BXD161","4",1.08571428571429,35,"delta (RU) contr"
"409","BXD162","4",1.09677419354839,31,"delta (RU) contr"
"410","BXD168","4",1.1219512195122,41,"delta (RU) contr"
"411","BXD169","4",1.05128205128205,39,"delta (RU) contr"
"412","BXD170","4",1.05263157894737,19,"delta (RU) contr"
"413","BXD171","4",1.22448979591837,49,"delta (RU) contr"
"414","BXD172","4",1.28571428571429,28,"delta (RU) contr"
"415","BXD173","4",1,34,"delta (RU) contr"
"416","BXD174","4",1.08823529411765,34,"delta (RU) contr"
"417","BXD175","4",1.05,20,"delta (RU) contr"
"418","BXD176","4",1,41,"delta (RU) contr"
"419","BXD177","4",1.04,25,"delta (RU) contr"
"420","BXD178","4",1.04347826086957,23,"delta (RU) contr"
"421","BXD180","4",1.04444444444444,45,"delta (RU) contr"
"422","BXD181","4",1.33333333333333,15,"delta (RU) contr"
"423","BXD183","4",1.10810810810811,37,"delta (RU) contr"
"424","BXD184","4",1.06896551724138,29,"delta (RU) contr"
"425","BXD186","4",1.07142857142857,42,"delta (RU) contr"
"426","BXD187","4",1.04166666666667,24,"delta (RU) contr"
"427","BXD190","4",1.1025641025641,39,"delta (RU) contr"
"428","BXD191","4",1.04347826086957,23,"delta (RU) contr"
"429","BXD195","4",1.19230769230769,26,"delta (RU) contr"
"430","BXD196","4",1,31,"delta (RU) contr"
"431","BXD197","4",1,28,"delta (RU) contr"
"432","BXD198","4",1,21,"delta (RU) contr"
"433","BXD199","4",1.09677419354839,31,"delta (RU) contr"
"434","BXD201","4",1.10714285714286,28,"delta (RU) contr"
"435","BXD202","4",1.20689655172414,29,"delta (RU) contr"
"436","BXD204","4",1,26,"delta (RU) contr"
"437","BXD205","4",1.04166666666667,24,"delta (RU) contr"
"438","BXD209","4",1,23,"delta (RU) contr"
"439","BXD211","4",1.125,24,"delta (RU) contr"
"440","BXD213","4",1.13793103448276,29,"delta (RU) contr"
"441","BXD214","4",1.15384615384615,26,"delta (RU) contr"
"442","BXD215","4",1.06896551724138,29,"delta (RU) contr"
"443","BXD216","4",1.12121212121212,33,"delta (RU) contr"
"444","BXD217","4",1.05,20,"delta (RU) contr"
"445","BXD218","4",1.13888888888889,36,"delta (RU) contr"
"446","BXD219","4",1,26,"delta (RU) contr"
"447","BXD221","4",1.07142857142857,14,"delta (RU) contr"
"448","BXD222","4",1,10,"delta (RU) contr"
"449","BXD223","4",1.14285714285714,14,"delta (RU) contr"
"450","BXD226","4",1.08333333333333,24,"delta (RU) contr"
"451","BXD227","4",1,25,"delta (RU) contr"
"452","BXD001","4",0.590799031476998,413,"% expanded"
"453","BXD002","4",0.623800383877159,521,"% expanded"
"454","BXD005","4",0.640973630831643,493,"% expanded"
"455","BXD006","4",0.71047227926078,487,"% expanded"
"456","BXD008","4",0.599173553719008,242,"% expanded"
"457","BXD009","4",0.502252252252252,444,"% expanded"
"458","BXD011","4",0.633802816901408,426,"% expanded"
"459","BXD012","4",0.553271028037383,535,"% expanded"
"460","BXD013","4",0.662538699690402,323,"% expanded"
"461","BXD014","4",0.579545454545455,528,"% expanded"
"462","BXD015","4",0.506880733944954,436,"% expanded"
"463","BXD016","4",0.699228791773779,389,"% expanded"
"464","BXD018","4",0.619589977220957,439,"% expanded"
"465","BXD019","4",0.71285140562249,498,"% expanded"
"466","BXD020","4",0.576200417536534,479,"% expanded"
"467","BXD021","4",0.669172932330827,266,"% expanded"
"468","BXD022","4",0.606911447084233,463,"% expanded"
"469","BXD024","4",0.605797101449275,345,"% expanded"
"470","BXD024_cep","4",0.63169164882227,467,"% expanded"
"471","BXD027","4",0.658947368421053,475,"% expanded"
"472","BXD028","4",0.597883597883598,378,"% expanded"
"473","BXD029","4",0.705394190871369,241,"% expanded"
